ID,qcs,lc_n,datapoints,mission,total_available_lcs
Kepler-68,14,2,47127,Kepler,16
Kepler-68,15,0,42511,Kepler,16
Kepler-68,15,1,33697,Kepler,16
Kepler-68,15,2,48269,Kepler,16
Kepler-68,16,0,7187,Kepler,16
Kepler-68,16,1,49758,Kepler,16
Kepler-68,16,2,43859,Kepler,16
Kepler-68,17,0,30810,Kepler,16
Kepler-68,17,1,5941,Kepler,16
TIC 32830028,6,0,14130,TESS,1
AU Mic,1,0,17911,TESS,2
Kepler-617,7,0,42516,Kepler,5
Kepler-617,7,1,41264,Kepler,5
Kepler-617,7,2,39335,Kepler,5
Kepler-617,8,0,24961,Kepler,5
Kepler-617,8,1,37368,Kepler,5
Kepler-617,8,2,28376,Kepler,5
Kepler-617,9,0,51523,Kepler,5
Kepler-617,9,1,40275,Kepler,5
Kepler-617,9,2,44006,Kepler,5
Kepler-617,10,0,42460,Kepler,5
Kepler-617,10,1,43564,Kepler,5
Kepler-617,10,2,42547,Kepler,5
Kepler-617,11,0,43646,Kepler,5
Kepler-617,11,1,42041,Kepler,5
Kepler-617,11,2,44707,Kepler,5
Kepler-1651,14,0,34466,Kepler,5
Kepler-1651,14,1,43815,Kepler,5
Kepler-1651,14,2,49610,Kepler,5
Kepler-1651,15,0,44527,Kepler,5
Kepler-1651,15,1,35308,Kepler,5
Kepler-1651,15,2,50721,Kepler,5
Kepler-1651,16,0,7621,Kepler,5
Kepler-1651,16,1,52294,Kepler,5
Kepler-1651,16,2,46114,Kepler,5
Kepler-1651,14,0,17934,TESS,5
Kepler-1651,26,0,15935,TESS,5
TIC 2760710,2,0,18271,TESS,2
TIC 2760710,29,0,88509,TESS,2
Kepler-473,3,0,42079,Kepler,6
Kepler-473,3,1,43037,Kepler,6
Kepler-473,3,2,37054,Kepler,6
Kepler-473,4,0,44467,Kepler,6
Kepler-473,4,1,35595,Kepler,6
Kepler-473,4,2,41373,Kepler,6
Kepler-473,5,0,45217,Kepler,6
Kepler-473,5,1,39482,Kepler,6
Kepler-473,5,2,47922,Kepler,6
Kepler-473,6,0,39155,Kepler,6
Kepler-473,6,1,44248,Kepler,6
Kepler-473,6,2,43048,Kepler,6
Kepler-473,7,0,43085,Kepler,6
Kepler-473,7,1,41763,Kepler,6
Kepler-473,7,2,39820,Kepler,6
Kepler-473,8,0,25416,Kepler,6
Kepler-473,8,1,37695,Kepler,6
Kepler-473,8,2,28437,Kepler,6
TIC 198385543,17,0,13365,TESS,6
TIC 198385543,20,0,17341,TESS,6
TIC 198385543,23,0,14282,TESS,6
TIC 198385543,24,0,15694,TESS,6
TIC 198385543,25,0,16990,TESS,6
TIC 198385543,26,0,16689,TESS,6
WASP-120,4,0,15221,TESS,4
WASP-120,5,0,17299,TESS,4
WASP-120,30,0,96481,TESS,4
WASP-120,31,0,96253,TESS,4
GJ 163,3,0,13452,TESS,5
GJ 163,4,0,15793,TESS,5
GJ 163,5,0,17873,TESS,5
GJ 163,30,0,16436,TESS,5
GJ 163,31,0,16722,TESS,5
TIC 235037761,1,0,17917,TESS,1
WASP-136,29,0,88930,TESS,1
TIC 120916706,3,0,12564,TESS,2
TIC 120916706,30,0,15227,TESS,2
Kepler-42,9,0,52279,Kepler,11
Kepler-42,9,1,40930,Kepler,11
Kepler-42,9,2,44778,Kepler,11
Kepler-42,10,0,43133,Kepler,11
Kepler-42,10,1,44167,Kepler,11
Kepler-42,10,2,43223,Kepler,11
Kepler-42,11,0,44301,Kepler,11
Kepler-42,11,1,42704,Kepler,11
Kepler-42,11,2,45495,Kepler,11
Kepler-42,12,0,33396,Kepler,11
Kepler-42,12,1,39215,Kepler,11
Kepler-42,12,2,32334,Kepler,11
Kepler-42,13,0,45907,Kepler,11
Kepler-42,13,1,41496,Kepler,11
Kepler-42,13,2,38376,Kepler,11
Kepler-42,14,0,34167,Kepler,11
Kepler-42,14,1,43296,Kepler,11
Kepler-42,14,2,49011,Kepler,11
Kepler-42,15,0,44028,Kepler,11
Kepler-42,15,1,34977,Kepler,11
Kepler-42,15,2,50096,Kepler,11
Kepler-42,16,0,7487,Kepler,11
Kepler-42,16,1,51783,Kepler,11
Kepler-42,16,2,45544,Kepler,11
Kepler-42,17,0,31992,Kepler,11
Kepler-42,17,1,6017,Kepler,11
Kepler-42,14,0,18063,TESS,11
Kepler-42,15,0,14902,TESS,11
Kepler-396,12,0,33755,Kepler,8
Kepler-396,12,1,39700,Kepler,8
Kepler-396,12,2,32946,Kepler,8
Kepler-396,13,0,46524,Kepler,8
Kepler-396,13,1,42007,Kepler,8
Kepler-396,13,2,39121,Kepler,8
Kepler-396,14,0,34529,Kepler,8
Kepler-396,14,1,43868,Kepler,8
Kepler-396,14,2,49674,Kepler,8
Kepler-396,15,0,44875,Kepler,8
Kepler-396,15,1,35373,Kepler,8
Kepler-396,15,2,50786,Kepler,8
Kepler-396,16,0,7621,Kepler,8
Kepler-396,16,1,52469,Kepler,8
Kepler-396,16,2,46180,Kepler,8
Kepler-396,17,0,32319,Kepler,8
Kepler-396,17,1,6151,Kepler,8
Kepler-396,14,0,18409,TESS,8
Kepler-396,15,0,16347,TESS,8
TOI-700,1,0,17771,TESS,15
TOI-700,3,0,13143,TESS,15
TOI-700,4,0,15603,TESS,15
TOI-700,5,0,17605,TESS,15
TOI-700,6,0,14515,TESS,15
TOI-700,7,0,16193,TESS,15
TOI-700,8,0,13185,TESS,15
TOI-700,9,0,15395,TESS,15
TOI-700,10,0,15932,TESS,15
TOI-700,11,0,16629,TESS,15
TOI-700,28,0,73123,TESS,15
TOI-700,30,0,94428,TESS,15
TOI-700,31,0,97117,TESS,15
TIC 377293776,14,0,16384,TESS,12
TIC 377293776,15,0,11356,TESS,12
TIC 377293776,16,0,13332,TESS,12
TIC 377293776,17,0,13803,TESS,12
TIC 377293776,19,0,16148,TESS,12
TIC 377293776,20,0,17302,TESS,12
TIC 377293776,21,0,17941,TESS,12
TIC 377293776,22,0,16322,TESS,12
TIC 377293776,23,0,14823,TESS,12
TIC 377293776,24,0,17848,TESS,12
TIC 377293776,25,0,16913,TESS,12
TIC 377293776,26,0,16608,TESS,12
KOI-12,0,0,13784,Kepler,19
KOI-12,2,0,41380,Kepler,19
KOI-12,2,1,42919,Kepler,19
KOI-12,2,2,37386,Kepler,19
KOI-12,3,0,42184,Kepler,19
KOI-12,3,1,43521,Kepler,19
KOI-12,3,2,37096,Kepler,19
KOI-12,4,0,44510,Kepler,19
KOI-12,4,1,36092,Kepler,19
KOI-12,4,2,41415,Kepler,19
KOI-12,5,0,45248,Kepler,19
KOI-12,5,1,39527,Kepler,19
KOI-12,5,2,48690,Kepler,19
KOI-12,6,0,39021,Kepler,19
KOI-12,6,1,44343,Kepler,19
KOI-12,6,2,43088,Kepler,19
KOI-12,7,0,43580,Kepler,19
KOI-12,7,1,41792,Kepler,19
KOI-12,7,2,39861,Kepler,19
KOI-12,8,0,25436,Kepler,19
KOI-12,8,1,37737,Kepler,19
KOI-12,8,2,28935,Kepler,19
KOI-12,9,0,52371,Kepler,19
KOI-12,9,1,41255,Kepler,19
KOI-12,9,2,44706,Kepler,19
KOI-12,10,0,43069,Kepler,19
KOI-12,10,1,44171,Kepler,19
KOI-12,10,2,43609,Kepler,19
KOI-12,11,0,44306,Kepler,19
KOI-12,11,1,42633,Kepler,19
KOI-12,11,2,45403,Kepler,19
KOI-12,12,0,33583,Kepler,19
KOI-12,12,1,39075,Kepler,19
KOI-12,12,2,32945,Kepler,19
KOI-12,13,0,46423,Kepler,19
KOI-12,13,1,41408,Kepler,19
KOI-12,13,2,38236,Kepler,19
KOI-12,14,0,34369,Kepler,19
KOI-12,14,1,43241,Kepler,19
KOI-12,14,2,49048,Kepler,19
KOI-12,15,0,43966,Kepler,19
KOI-12,15,1,35202,Kepler,19
KOI-12,15,2,50160,Kepler,19
KOI-12,16,0,7621,Kepler,19
KOI-12,16,1,51842,Kepler,19
KOI-12,17,0,32147,Kepler,19
KOI-12,17,1,6151,Kepler,19
KOI-12,14,0,12240,TESS,19
Kepler-1125,13,0,46100,Kepler,4
Kepler-1125,13,1,41588,Kepler,4
Kepler-1125,13,2,38781,Kepler,4
Kepler-1125,15,0,44183,Kepler,4
Kepler-1125,15,1,35302,Kepler,4
Kepler-1125,15,2,50363,Kepler,4
Kepler-1125,16,0,7269,Kepler,4
Kepler-1125,16,1,52047,Kepler,4
Kepler-1125,16,2,45756,Kepler,4
Kepler-1125,17,0,31894,Kepler,4
Kepler-1125,17,1,6151,Kepler,4
GJ 687,14,0,18424,TESS,11
GJ 687,15,0,17417,TESS,11
GJ 687,16,0,15717,TESS,11
GJ 687,17,0,12626,TESS,11
GJ 687,19,0,16313,TESS,11
GJ 687,20,0,17633,TESS,11
GJ 687,22,0,16527,TESS,11
GJ 687,23,0,15006,TESS,11
GJ 687,24,0,18217,TESS,11
GJ 687,25,0,17246,TESS,11
GJ 687,26,0,16941,TESS,11
Kepler-808,9,0,49363,Kepler,3
Kepler-808,9,1,38673,Kepler,3
Kepler-808,9,2,42305,Kepler,3
Kepler-808,10,0,40808,Kepler,3
Kepler-808,10,1,41648,Kepler,3
Kepler-808,10,2,40807,Kepler,3
Kepler-808,11,0,41878,Kepler,3
Kepler-808,11,1,40420,Kepler,3
Kepler-808,11,2,42971,Kepler,3
GU Psc,17,0,12927,TESS,1
TIC 13684720,14,0,13929,TESS,2
TIC 13684720,15,0,13114,TESS,2
Kepler-560,14,0,34695,Kepler,2
Kepler-560,14,1,43918,Kepler,2
Kepler-560,14,2,49728,Kepler,2
Kepler-560,15,0,44772,Kepler,2
Kepler-560,15,1,35541,Kepler,2
Kepler-560,15,2,50840,Kepler,2
HAT-P-11,14,0,18145,TESS,16
HAT-P-11,0,0,13944,Kepler,16
HAT-P-11,1,0,48023,Kepler,16
HAT-P-11,2,0,41092,Kepler,16
HAT-P-11,2,1,42507,Kepler,16
HAT-P-11,2,2,37549,Kepler,16
HAT-P-11,3,0,42227,Kepler,16
HAT-P-11,3,1,43111,Kepler,16
HAT-P-11,3,2,37259,Kepler,16
HAT-P-11,4,0,44409,Kepler,16
HAT-P-11,4,1,35709,Kepler,16
HAT-P-11,4,2,41461,Kepler,16
HAT-P-11,5,0,45245,Kepler,16
HAT-P-11,5,1,39710,Kepler,16
HAT-P-11,5,2,48293,Kepler,16
HAT-P-11,6,0,38905,Kepler,16
HAT-P-11,6,1,44241,Kepler,16
HAT-P-11,6,2,43132,Kepler,16
HAT-P-11,9,0,52276,Kepler,16
HAT-P-11,9,1,40843,Kepler,16
HAT-P-11,9,2,44605,Kepler,16
HAT-P-11,10,0,43124,Kepler,16
HAT-P-11,10,1,44009,Kepler,16
HAT-P-11,10,2,43199,Kepler,16
HAT-P-11,12,1,39276,Kepler,16
HAT-P-11,12,2,32399,Kepler,16
HAT-P-11,13,1,41421,Kepler,16
HAT-P-11,13,2,38254,Kepler,16
HAT-P-11,14,1,43282,Kepler,16
HAT-P-11,14,2,48948,Kepler,16
HAT-P-11,16,0,7355,Kepler,16
HAT-P-11,16,1,51742,Kepler,16
HAT-P-11,16,2,45595,Kepler,16
HAT-P-11,17,0,31880,Kepler,16
HAT-P-11,17,1,6006,Kepler,16
GJ 682,12,0,15699,TESS,1
TIC 272086159,2,0,18223,TESS,15
TIC 272086159,3,0,13398,TESS,15
TIC 272086159,4,0,15697,TESS,15
TIC 272086159,5,0,17783,TESS,15
TIC 272086159,6,0,14778,TESS,15
TIC 272086159,7,0,16269,TESS,15
TIC 272086159,8,0,13326,TESS,15
TIC 272086159,9,0,15833,TESS,15
TIC 272086159,10,0,16325,TESS,15
TIC 272086159,12,0,19055,TESS,15
TIC 272086159,13,0,19535,TESS,15
TIC 272086159,27,0,84385,TESS,15
TIC 272086159,28,0,88958,TESS,15
TIC 272086159,29,0,89465,TESS,15
TIC 272086159,30,0,99073,TESS,15
TIC 233120979,14,0,17957,TESS,12
TIC 233120979,15,0,14653,TESS,12
TIC 233120979,16,0,14393,TESS,12
TIC 233120979,18,0,13870,TESS,12
TIC 233120979,19,0,16155,TESS,12
TIC 233120979,20,0,17251,TESS,12
TIC 233120979,21,0,17926,TESS,12
TIC 233120979,22,0,16095,TESS,12
TIC 233120979,23,0,14268,TESS,12
TIC 233120979,24,0,17839,TESS,12
TIC 233120979,25,0,16869,TESS,12
TIC 233120979,26,0,16566,TESS,12
TOI-216,2,0,17968,TESS,17
TOI-216,3,0,13184,TESS,17
TOI-216,4,0,15525,TESS,17
TOI-216,5,0,17717,TESS,17
TOI-216,6,0,14553,TESS,17
TOI-216,7,0,16198,TESS,17
TOI-216,8,0,13226,TESS,17
TOI-216,9,0,14805,TESS,17
TOI-216,11,0,15731,TESS,17
TOI-216,12,0,18739,TESS,17
TOI-216,13,0,19301,TESS,17
TOI-216,27,0,92242,TESS,17
TOI-216,28,0,88634,TESS,17
TOI-216,29,0,86536,TESS,17
TOI-216,30,0,96809,TESS,17
TOI-216,31,0,97075,TESS,17
TIC 161032923,13,0,17752,TESS,1
HIP 67522,11,0,13598,TESS,1
TIC 206609630,1,0,17587,TESS,4
TIC 206609630,2,0,17793,TESS,4
TIC 206609630,28,0,89116,TESS,4
TIC 206609630,29,0,89730,TESS,4
Kepler-488,4,0,44091,Kepler,8
Kepler-488,4,1,35491,Kepler,8
Kepler-488,4,2,41018,Kepler,8
Kepler-488,5,0,44821,Kepler,8
Kepler-488,5,1,39234,Kepler,8
Kepler-488,5,2,47738,Kepler,8
Kepler-488,6,0,38564,Kepler,8
Kepler-488,6,1,43933,Kepler,8
Kepler-488,6,2,42801,Kepler,8
Kepler-488,7,0,39574,Kepler,8
Kepler-488,13,0,45515,Kepler,8
Kepler-488,13,1,41016,Kepler,8
Kepler-488,13,2,37998,Kepler,8
Kepler-488,14,0,33747,Kepler,8
Kepler-488,14,1,42815,Kepler,8
Kepler-488,14,2,48494,Kepler,8
Kepler-488,15,0,43570,Kepler,8
Kepler-488,15,1,34469,Kepler,8
Kepler-488,15,2,49612,Kepler,8
Kepler-488,16,0,7487,Kepler,8
Kepler-488,16,1,51286,Kepler,8
Kepler-488,16,2,45128,Kepler,8
TOI-813,4,0,15795,TESS,14
TOI-813,5,0,17488,TESS,14
TOI-813,6,0,14825,TESS,14
TOI-813,8,0,13021,TESS,14
TOI-813,9,0,14967,TESS,14
TOI-813,10,0,15547,TESS,14
TOI-813,11,0,15692,TESS,14
TOI-813,12,0,19099,TESS,14
TOI-813,13,0,19582,TESS,14
TOI-813,27,0,93927,TESS,14
TOI-813,28,0,91649,TESS,14
TOI-813,29,0,14919,TESS,14
TOI-813,30,0,16216,TESS,14
TOI-813,31,0,16741,TESS,14
RR Cae,3,0,13452,TESS,4
RR Cae,4,0,15794,TESS,4
RR Cae,5,0,17873,TESS,4
RR Cae,30,0,96728,TESS,4
TIC 52280468,6,0,13647,TESS,2
TIC 52280468,7,0,15050,TESS,2
51 Eri,5,0,17664,TESS,1
TIC 77951245,5,0,17753,TESS,2
TIC 77951245,6,0,14702,TESS,2
VHS J125601.92-125723.9,10,0,15742,TESS,1
WASP-139,3,0,13123,TESS,4
WASP-139,4,0,15387,TESS,4
WASP-139,30,0,99412,TESS,4
WASP-139,31,0,98420,TESS,4
WASP-88,27,0,94594,TESS,1
Kepler-367,12,0,33754,Kepler,6
Kepler-367,12,1,39983,Kepler,6
Kepler-367,12,2,32946,Kepler,6
Kepler-367,13,0,46566,Kepler,6
Kepler-367,13,1,42006,Kepler,6
Kepler-367,14,0,34530,Kepler,6
Kepler-367,14,1,43866,Kepler,6
Kepler-367,14,2,49688,Kepler,6
Kepler-367,15,0,44591,Kepler,6
Kepler-367,15,1,35372,Kepler,6
Kepler-367,15,2,50800,Kepler,6
Kepler-367,16,0,52467,Kepler,6
Kepler-367,16,1,46179,Kepler,6
Kepler-367,17,0,32317,Kepler,6
Kepler-55,7,0,43821,Kepler,11
Kepler-55,7,1,42487,Kepler,11
Kepler-55,7,2,40558,Kepler,11
Kepler-55,8,0,25677,Kepler,11
Kepler-55,8,1,38432,Kepler,11
Kepler-55,8,2,29174,Kepler,11
Kepler-55,9,0,53068,Kepler,11
Kepler-55,9,1,41496,Kepler,11
Kepler-55,9,2,45182,Kepler,11
Kepler-55,10,0,43764,Kepler,11
Kepler-55,10,1,44793,Kepler,11
Kepler-55,10,2,43845,Kepler,11
Kepler-55,11,0,44969,Kepler,11
Kepler-55,11,1,43329,Kepler,11
Kepler-55,11,2,46098,Kepler,11
Kepler-55,12,0,33823,Kepler,11
Kepler-55,12,1,39770,Kepler,11
Kepler-55,12,2,32747,Kepler,11
Kepler-55,13,0,46376,Kepler,11
Kepler-55,13,1,42074,Kepler,11
Kepler-55,13,2,39071,Kepler,11
Kepler-55,14,0,34595,Kepler,11
Kepler-55,14,1,43934,Kepler,11
Kepler-55,14,2,49744,Kepler,11
Kepler-55,15,0,44661,Kepler,11
Kepler-55,15,1,35441,Kepler,11
Kepler-55,15,2,50642,Kepler,11
Kepler-55,16,0,7621,Kepler,11
Kepler-55,16,1,52324,Kepler,11
Kepler-55,16,2,46248,Kepler,11
Kepler-55,17,0,32386,Kepler,11
Kepler-55,17,1,6151,Kepler,11
Kepler-531,6,0,39351,Kepler,3
Kepler-531,6,1,44977,Kepler,3
Kepler-531,6,2,43719,Kepler,3
Kepler-531,7,0,40771,Kepler,3
Kepler-531,17,0,32321,Kepler,3
Kepler-531,17,1,6151,Kepler,3
TIC 310231275,24,0,15290,TESS,2
TIC 310231275,25,0,16751,TESS,2
Kepler-1661,14,0,34810,Kepler,5
Kepler-1661,14,1,44147,Kepler,5
Kepler-1661,14,2,49958,Kepler,5
Kepler-1661,15,0,44875,Kepler,5
Kepler-1661,15,1,35655,Kepler,5
Kepler-1661,15,2,51069,Kepler,5
Kepler-1661,16,0,7622,Kepler,5
Kepler-1661,16,1,52752,Kepler,5
Kepler-1661,16,2,46462,Kepler,5
Kepler-1661,14,0,18424,TESS,5
Kepler-1661,26,0,16941,TESS,5
Gl 49,18,0,15207,TESS,2
Gl 49,24,0,18217,TESS,2
Kepler-211,8,0,37792,Kepler,2
Kepler-211,17,0,31784,Kepler,2
TIC 233211762,14,0,17776,TESS,11
TIC 233211762,15,0,15216,TESS,11
TIC 233211762,16,0,14560,TESS,11
TIC 233211762,17,0,11565,TESS,11
TIC 233211762,18,0,13407,TESS,11
TIC 233211762,19,0,15716,TESS,11
TIC 233211762,21,0,17698,TESS,11
TIC 233211762,22,0,15300,TESS,11
TIC 233211762,24,0,17563,TESS,11
TIC 233211762,25,0,16625,TESS,11
TIC 233211762,26,0,16353,TESS,11
